timestamp,course_enrolled,ccm_website,social_media,community_event,family_member_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in_app_advertisement,employer,billboard,television,radio,other_hear_about_ccm,affordable_cost,location_convenience,choice_of_programs,online_offerings,family_friend_referral,faculty_staff,college_reputation,financial_aid,scholarships,small_class_sizes,extra_curricular_opportunities,accepted_my_transfer_credits,negative_experience_at_another_college,nj_stars_program,ability_to_transfer_ccm_credits_to_a_4_year_school,get_college_credit_while_in_high_school,prior_to_applying_to_college_open_house,prior_to_applying_to_college_instant_decision_day,prior_to_applying_to_college_on_campus_information_session,prior_to_applying_to_college_titans_tuesday_virtual_information_session,prior_to_applying_to_college_women_who_dare,prior_to_applying_to_college_regional_college_fair,prior_to_applying_to_college_hs_sharetime_information_session,prior_to_applying_to_college_challenger_program,prior_to_applying_to_college_cybersecurity_information_protection_program_participation,prior_to_applying_to_college_information_session_at_my_high_school,prior_to_applying_to_college_campus_visit_with_my_high_school,prior_to_applying_to_college_campus_visit_individual,prior_to_applying_to_college_workforce_development_class,prior_to_applying_to_college_corporate_training,prior_to_applying_to_college_teen_arts_festival,prior_to_applying_to_college_summer_camp_at_ccm,middle_high_school_computing_class_impact,middle_high_school_computing_related_club_impact,computing_related_competitions_impact,afterschool_computing_related_camp_program_impact,summer_computing_related_camp_program_impact,an_ap_computing_class_impact,a_dual_enrollment_computing_class_impact,family_or_friend_influence_impact,family_or_friend_working_in_the_computing_field_impact,high_school_teacher_or_guidance_counselor_impact,employer_influence_impact,current_ccm_student_influence_impact,experience_at_work_impact,other_influence_impact,degree_program_currently_enrolled_in,to_get_a_job_in_the_computing_field_motivation,high_school_guidance_counselor_source,high_school_teacher_source,ccm_information_technologies_website_source,ccm_admissions_source,ccm_advisor_counselor_source,employer_source,ccm_workforce_development_source,nj_workforce_development_program_source,other_source,first_choice_or_changed_majors,interest_in_taking_more_computing_classes,explanation_for_interest_in_taking_more_computing_classes,gender,race_ethnicity,age
2020/09/14 1:07:23 PM EST,Computing 128 Computer Science I,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Financial,No,No,No,No,No,No,No,No,No,First Choice,,,Man,American Indian/Native American/Alaska Native,25-34
2020/09/14 1:07:42 PM EST,Computing 128 Computer Science I,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Professional Development;To keep current in tech industry;IT Industry Certifications,No,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,21-24
2020/09/14 1:10:22 PM EST,Computing 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Don't recall,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Liberal Arts,,,,,,,,,,,,1.0,Not needed,Woman,Hispanic/Latino;Black,19-20
2020/09/14 1:10:37 PM EST,Computing 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Business,,,,,,,,,,,,1.0,"i will not, im not tech savy",Woman,Hispanic/Latino,19-20
2020/09/14 1:34:46 PM EST,Computing 128 Computer Science I,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,No,No,Yes,No,No,No,No,No,No,First Choice,,,Woman,Hispanic/Latino,25-34
2020/09/14 1:39:21 PM EST,Computing 128 Computer Science I,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Technical Studies, Applied Associate of Science",Career Advancement;To keep current in tech industry;IT Industry Certifications;Financial;Personal Enrichment,No,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,19-20
2020/09/14 1:40:12 PM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,"Computer Science, Associate of Science",To get a job in the computing field,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Woman,White/Caucasian,18 and younger
2020/09/14 1:41:04 PM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Some Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,Some Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,3.0,"It would depend on how this class goes, and my interest in it",Man,White/Caucasian,18 and younger
2020/09/14 1:43:55 PM EST,Computing 128 Computer Science I,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,"Computer Science, Associate of Science",Transfer to bachelor's level program,Yes,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,Hispanic/Latino;White/Caucasian;Multi-Racial,18 and younger
2020/09/14 2:49:18 PM EST,Computing 239 Internet & Web Design,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,,,,Some Impact,,,,,Some Impact,Some Impact,,Some Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,Some Impact,Some Impact,,,,,,"Computer Science, Associate of Science",Transfer to bachelor's level program;Professional Development;To keep current in tech industry;IT Industry Certifications;Financial;Personal Enrichment,No,No,No,No,No,No,No,No,No,Mathematics,,,Man,Asian,21-24
2020/09/14 3:18:49 PM EST,Computing 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,,,No Impact,No Impact,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,Associate Degree in Mathematics,,,,,,,,,,,,3.0,Too early to tell whether I may be interested in another computing class.,Woman,White/Caucasian,65+
2020/09/14 5:10:08 PM EST,Computing 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Electrical Engineering Technology,,,,,,,,,,,,3.0,Only if required to graduate,I do not identify,Choose not to reply,25-34
2020/09/14 5:10:18 PM EST,Computing 128 Computer Science I,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,3.0,This course is a prerequisite for the Nuclear Medicine Technology program I will be applying to next spring.,Woman,White/Caucasian,21-24
2020/09/14 5:10:51 PM EST,Computing 128 Computer Science I,Yes,Don't recall,Yes,Yes,No,No,No,No,Don't recall,Don't recall,Don't recall,Don't recall,No,Yes,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,3.0,Its not a part of my major so i wouldn't want to overextend myself.,Man,White/Caucasian,25-34
2020/09/14 5:13:02 PM EST,Computing 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,Yes,Yes,Yes,Yes,Yes,No,No,No,No,chemical Engineering,,,Man,White/Caucasian,19-20
2020/09/14 5:13:04 PM EST,Computing 128 Computer Science I,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Math-Education Specialization,,,,,,,,,,,,3.0,"Sort of interest in computing class, I use to take be interested in a programming degree.",Woman,Hispanic/Latino,21-24
2020/09/14 5:14:17 PM EST,Computing 128 Computer Science I,Yes,Yes,No,Yes,Yes,Don't recall,Yes,Yes,Don't recall,No,Yes,No,No,Don't recall,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Some Impact,,,,,,,Some Impact,Some Impact,Some Impact,,Some Impact,Some Impact,,Mechanical Engineer,,,,,,,,,,,,3.0,It is interesting to me but not something I would I find myself doing in the future.,Man,Hispanic/Latino,19-20
2020/09/14 5:14:29 PM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,mechanical engineering tech,,,,,,,,,,,,3.0,"Im not sure if this computer class is right for me and or going to be focusing on topics that will aid me in my career. However, might as well give it a shot.",Man,White/Caucasian,19-20
2020/09/14 5:17:10 PM EST,Computing 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,"CIS Game Development Option, Applied Associate of Science",To get a job in the computing field;Personal Enrichment,Yes,No,No,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2020/09/14 5:20:03 PM EST,Computing 128 Computer Science I,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,,,No Impact,,,,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,High Impact,High Impact,,,,,,"Technical Studies, Applied Associate of Science",Professional Development;To keep current in tech industry;Financial;Personal Enrichment;networking and hacking systems ,No,No,No,No,Yes,No,No,No,No,This is a requirement for my mechanical engineering major ,,,Man,Hispanic/Latino,19-20
2020/09/14 5:20:38 PM EST,Computing 128 Computer Science I,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Career Advancement;Professional Development;IT Industry Certifications;Financial;Personal Enrichment,No,No,No,No,No,No,No,No,Yes,Nursing,,,Man,Hispanic/Latino,25-34
2020/09/14 5:23:27 PM EST,Computing 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,,Elec Engineering Tech,,,,,,,,,,,,5.0,I have programming experience at work and want to expand on it,Man,White/Caucasian,25-34
2020/09/14 8:31:52 PM EST,Computing 239 Internet & Web Design,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,Some Impact,,,Some Impact,,,Some Impact,,,Some Impact,,High Impact,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,,Some Impact,,"Computer Science, Associate of Science",To get a job in the computing field;Career Advancement;Career Change;Professional Development,No,No,No,No,Yes,No,No,No,Don't recall,Math,,,Woman,Black,25-34
2020/09/14 9:13:39 PM EST,Computing 128 Computer Science I,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,Yes,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,High Impact,High Impact,Yes,No,Yes,No,No,Not Sure,No,No,No,Not Sure,No,Yes,No,No,No,No,,,,,,,,Some Impact,,,,Some Impact,Some Impact,,Associate's Degree,,,,,,,,,,,,3.0,I picked 3 because I am not that good in computer programming but I am willing to learn. ,Woman,Asian,19-20
2020/09/14 9:13:45 PM EST,Computing 128 Computer Science I,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,High Impact,High Impact,,Some Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,"Computer Science, Associate of Science",To get a job in the computing field,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2020/09/15 2:40:49 AM EST,Computing 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,,Some Impact,,,,,Some Impact,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,Some Impact,Some Impact,,High Impact,,High Impact,,Electronics Engineering Technology,,,,,,,,,,,,5.0,I currently work with Flight Simulators and i deal with computer software & hardware and as well as mechanical hardware and would like to gain more knowledge in the Computer Science field.,Man,Hispanic/Latino,35-64
2020/09/16 6:47:42 AM EST,Computing 128 Computer Science I,Don't recall,Don't recall,No,Yes,Yes,No,Yes,Yes,No,Don't recall,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,,"Computer Science, Associate of Science",To get a job in the computing field;IT Industry Certifications,Yes,Yes,No,Yes,Yes,No,Don't recall,Don't recall,Don't recall,my first major was biology,,,Woman,Asian,18 and younger
2020/09/16 6:48:24 AM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Business Administration,,,,,,,,,,,,3.0,"I took this class to get my requirements in. If I find the course more interesting as I go along, then I would take more computer courses. ",Woman,Asian,18 and younger
2020/09/16 10:44:06 AM EST,Computing 128 Computer Science I,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Electronics Engineering Technology,,,,,,,,,,,,4.0,Computing seems like a very interesting class to take because it would be fun to take.,Man,Hispanic/Latino,19-20
2020/09/16 12:12:03 PM EST,Computing 128 Computer Science I,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology,,,,,,,,,,,,3.0,"Depending on how this class goes, I will decide from there",Man,White/Caucasian,18 and younger
2020/09/16 1:09:14 PM EST,Computing 128 Computer Science I,Don't recall,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mathematics,,,,,,,,,,,,3.0,They are challenging,Man,White/Caucasian,19-20
2020/09/16 1:10:23 PM EST,Computing 128 Computer Science I,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,,"Computer Science, Associate of Science",To get a job in the computing field;Transfer to bachelor's level program,Yes,No,No,Yes,No,No,No,No,Don't recall,First Choice,,,Man,Hispanic/Latino,18 and younger
2020/09/16 1:11:33 PM EST,Computing 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Don't recall,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,,Some Impact,High Impact,Some Impact,,,,High Impact,,Yes,Yes,Yes,Not Sure,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Some Impact,High Impact,Some Impact,,,,,Some Impact,,High Impact,,No Impact,No Impact,High Impact,"CIS Game Development Option, Applied Associate of Science",To get a job in the computing field,Yes,Yes,Yes,Yes,Yes,No,No,No,No,First Choice,,,Prefer not to say,White/Caucasian,18 and younger
2020/09/16 1:12:11 PM EST,Computing 128 Computer Science I,Yes,Don't recall,Yes,Yes,Don't recall,No,Yes,Yes,No,Don't recall,Yes,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,Undecided,,,,,,,,,,,,3.0,"I think Computer Science and programming can be interesting, so I believe it can be interesting to try to learn despite it not being one of my own personal interests ",Woman,Asian,19-20
2020/09/16 1:12:18 PM EST,Computing 128 Computer Science I,Yes,No,No,Yes,Yes,No,Don't recall,Don't recall,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,,,No Impact,,Some Impact,No Impact,No Impact,,High Impact,No Impact,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,,Some Impact,Some Impact,,,,Some Impact,,Some Impact,,,"Computer Science, Associate of Science",Transfer to bachelor's level program,Yes,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2020/09/16 1:13:34 PM EST,Computing 128 Computer Science I,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Don't recall,No,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,Mathematics Associate of Science,,,,,,,,,,,,4.0,It is interesting to learn computing notions and tools and how to operate a program.,Woman,White/Caucasian,21-24
2020/09/16 1:13:36 PM EST,Computing 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Some Impact,Some Impact,Some Impact,,,,Some Impact,,,,,,,,Some Impact,,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,,,,,,,,,,,Some Impact,,,Mechanical Engineering Technology,,,,,,,,,,,,2.0,Not required,Man,White/Caucasian,21-24
2020/09/16 1:14:34 PM EST,Computing 128 Computer Science I,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,Yes,Don't recall,No,Yes,Yes,Don't recall,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,Not Sure,Not Sure,No,No,Yes,Yes,No,Yes,Not Sure,Yes,No,No,No,No,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Technical Studies, Applied Associate of Science",To keep current in tech industry;Personal Enrichment,No,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
2020/09/16 1:14:48 PM EST,Computing 128 Computer Science I,No,No,Yes,Yes,Yes,Don't recall,Yes,Yes,Don't recall,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,,,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;Professional Development;IT Industry Certifications,Yes,Yes,Yes,Yes,No,No,No,No,No,First Choice,,,Man,American Indian/Native American/Alaska Native,18 and younger
2020/09/16 1:20:47 PM EST,Computing 128 Computer Science I,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,MET,,,,,,,,,,,,3.0,"I like using computers, but when I figured out how they work and all the languages involved, I decided it probably wouldnt be for me.",Man,White/Caucasian,21-24
