timestamp,course_enrolled,ccm_website,social_media,community_event,family_member_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in_app_advertisement,employer,billboard,television,radio,other_hear_about_ccm,affordable_cost,location_convenience,choice_of_programs,online_offerings,family_friend_referral,faculty_staff,college_reputation,financial_aid,scholarships,small_class_sizes,extra_curricular_opportunities,accepted_my_transfer_credits,negative_experience_at_another_college,nj_stars_program,ability_to_transfer_ccm_credits_to_a_4_year_school,get_college_credit_while_in_high_school,prior_to_applying_to_college_open_house,prior_to_applying_to_college_instant_decision_day,prior_to_applying_to_college_on_campus_information_session,prior_to_applying_to_college_titans_tuesday_virtual_information_session,prior_to_applying_to_college_women_who_dare,prior_to_applying_to_college_regional_college_fair,prior_to_applying_to_college_hs_sharetime_information_session,prior_to_applying_to_college_challenger_program,prior_to_applying_to_college_cybersecurity_information_protection_program_participation,prior_to_applying_to_college_information_session_at_my_high_school,prior_to_applying_to_college_campus_visit_with_my_high_school,prior_to_applying_to_college_campus_visit_individual,prior_to_applying_to_college_workforce_development_class,prior_to_applying_to_college_corporate_training,prior_to_applying_to_college_teen_arts_festival,prior_to_applying_to_college_summer_camp_at_ccm,middle_high_school_computing_class_impact,middle_high_school_computing_related_club_impact,computing_related_competitions_impact,afterschool_computing_related_camp_program_impact,summer_computing_related_camp_program_impact,an_ap_computing_class_impact,a_dual_enrollment_computing_class_impact,family_or_friend_influence_impact,family_or_friend_working_in_the_computing_field_impact,high_school_teacher_or_guidance_counselor_impact,employer_influence_impact,current_ccm_student_influence_impact,experience_at_work_impact,other_influence_impact,degree_program_currently_enrolled_in,to_get_a_job_in_the_computing_field_motivation,high_school_guidance_counselor_source,high_school_teacher_source,ccm_information_technologies_website_source,ccm_admissions_source,ccm_advisor_counselor_source,employer_source,ccm_workforce_development_source,nj_workforce_development_program_source,other_source,first_choice_or_changed_majors,interest_in_taking_more_computing_classes,explanation_for_interest_in_taking_more_computing_classes,gender,race_ethnicity,age
2020/09/22 8:30:10 PM EST,Computing 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mechanical Engineering Technology  ,,,,,,,,,,,,4.0,I know how important this information can be in the future.,Man,Hispanic/Latino,18 and younger
2020/09/22 9:54:45 PM EST,Computing 128 Computer Science I,Don't recall,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,2.0,"seemed easy at first. now, not so much. ",Man,White/Caucasian,19-20
2020/09/23 1:11:50 AM EST,Computing 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Chemistry,,,,,,,,,,,,5.0,It is already the future.,Man,Hispanic/Latino,25-34
2020/09/23 9:56:12 AM EST,Computing 120 Foundations of Information Security,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,,Some Impact,High Impact,,,High Impact,Some Impact,High Impact,,,High Impact,,Yes,Not Sure,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Some Impact,,,,,,,,,Some Impact,,,,,"Information Technology, Applied Associate of Science",To get a job in the computing field;Transfer to bachelor's level program;IT Industry Certifications,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,First Choice,,,Man,Asian,21-24
2020/09/23 12:29:26 PM EST,Computing 120 Foundations of Information Security,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,"Computer Science, Associate of Science",To get a job in the computing field,No,No,No,No,No,No,No,No,No,Public Health,,,Man,Hispanic/Latino,25-34
2020/09/23 12:47:15 PM EST,Computing 120 Foundations of Information Security,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,"Information Technology, Applied Associate of Science",To get a job in the computing field;Professional Development;To keep current in tech industry,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nursing,,,Woman,Black,21-24
2020/09/23 1:31:06 PM EST,Computing 128 Computer Science I,Don't recall,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,,High Impact,High Impact,High Impact,,,Some Impact,,,,Some Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,,Some Impact,,,,High Impact,,Some Impact,,,High Impact,,,EDAM,,,,,,,,,,,,3.0,"It's fun, but I cannot see myself doing this in the future.",Woman,White/Caucasian,18 and younger
2020/09/23 1:33:35 PM EST,Computing 128 Computer Science I,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,3.0,I don't feel that computing is for me but this class is definitely a good way to explore whether or not I like it.,Woman,Hispanic/Latino,18 and younger
2020/09/23 1:33:47 PM EST,Computing 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,,High Impact,,,,,,,,High Impact,High Impact,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,share time (EDAM),,,,,,,,,,,,4.0,"I am interested in learning the information these courses have to offer, but this isn't  the only thing I would want to learn for the job I want in the future.",Man,Choose not to reply,18 and younger
2020/09/23 1:33:52 PM EST,Computing 128 Computer Science I,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,,High Impact,,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,EDAM,,,,,,,,,,,,4.0,"It's fun to do, but its not exactly in line with what I'm going to school for right now, but will be helpful in the future",Man,White/Caucasian,18 and younger
